sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price,errors
4942,prof,463,0,11,"Tier Price customer group is invalid"
4942,prof,386,0,11,"Tier Price customer group is invalid"
4942,prof,264,0,11,"Tier Price customer group is invalid"
4942,prof,265,0,11,"Tier Price customer group is invalid"
4942,prof,271,0,11,"Tier Price customer group is invalid"
4942,prof,273,0,11,"Tier Price customer group is invalid"
4942,prof,280,0,11,"Tier Price customer group is invalid"
4942,prof,291,0,11,"Tier Price customer group is invalid"
4942,prof,1482,0,11,
4942,prof,1490,0,11,
4942,prof,97,0,11,"Tier Price customer group is invalid"
4942,prof,153,0,11,"Tier Price customer group is invalid"
4942,prof,489,0,11,"Tier Price customer group is invalid"
4942,prof,493,0,11,"Tier Price customer group is invalid"
4942,prof,560,0,11,"Tier Price customer group is invalid"
4942,prof,571,0,11,"Tier Price customer group is invalid"
4942,prof,635,0,11,"Tier Price customer group is invalid"
4942,prof,512,0,11,"Tier Price customer group is invalid"
4942,prof,514,0,11,"Tier Price customer group is invalid"
4942,prof,520,0,11,"Tier Price customer group is invalid"
4942,prof,200,0,11,"Tier Price customer group is invalid"
4942,prof,125,0,11,"Tier Price customer group is invalid"
4942,prof,564,0,11,"Tier Price customer group is invalid"
4942,prof,160,0,11,"Tier Price customer group is invalid"
4942,prof,243,0,11,"Tier Price customer group is invalid"
4942,prof,246,0,11,"Tier Price customer group is invalid"
